timestamp,vessel_count,mean_sog_knots,stopped_ratio,course_dispersion,traffic_density,position_spread_km
2024-01-10T18:50:00Z,187,0.968721,0.878995,0.794551,0.989418,6.285624
2024-01-10T18:55:00Z,184,0.930332,0.886256,0.77555,0.973545,6.191472
2024-01-10T19:00:00Z,187,1.008658,0.859307,0.770172,0.989418,6.13095
2024-01-10T19:05:00Z,183,1.136557,0.853774,0.800874,0.968254,6.353912
2024-01-10T19:10:00Z,187,1.176123,0.841608,0.855087,0.989418,6.318795
2024-01-10T19:15:00Z,185,1.045861,0.82774,0.818082,0.978836,6.365961
2024-01-10T19:20:00Z,182,0.943692,0.852804,0.85794,0.962963,6.149383
2024-01-10T19:25:00Z,181,0.92881,0.835714,0.81445,0.957672,6.177614
2024-01-10T19:30:00Z,182,1.033333,0.825175,0.868178,0.962963,6.256022
2024-01-10T19:35:00Z,186,1.279545,0.829545,0.850369,0.984127,6.066799
2024-01-10T19:40:00Z,184,1.279907,0.808411,0.883046,0.973545,6.148086
2024-01-10T19:45:00Z,181,1.579446,0.792148,0.872435,0.957672,6.031404
2024-01-10T19:50:00Z,191,1.576457,0.809417,0.852972,1.0,5.996143
2024-01-10T19:55:00Z,179,1.601643,0.779343,0.848897,0.94709,5.96204
2024-01-10T20:00:00Z,61,1.580328,0.688525,0.739471,0.322751,5.097065
2024-01-10T20:05:00Z,189,1.142118,0.812808,0.819481,1.0,6.05484
2024-01-10T20:10:00Z,188,1.361224,0.802721,0.827463,0.994709,6.295986
2024-01-10T20:15:00Z,191,1.201766,0.836645,0.861393,1.0,5.930248
2024-01-10T20:20:00Z,188,0.851351,0.835586,0.856159,0.994709,5.99485
2024-01-10T20:25:00Z,184,1.369321,0.814988,0.883816,0.973545,6.08749
2024-01-10T20:30:00Z,111,1.25,0.833333,0.918941,0.587302,6.043416
2024-01-10T21:00:00Z,156,1.249583,0.8125,0.904463,0.825397,6.193028
2024-01-10T21:05:00Z,190,0.921198,0.852535,0.958212,1.0,6.356064
2024-01-10T21:10:00Z,184,0.8025,0.8775,0.894,0.973545,6.461108
2024-01-10T21:15:00Z,189,0.931422,0.889908,0.83238,1.0,6.38219
2024-01-10T21:20:00Z,181,1.178622,0.87886,0.819696,0.957672,6.340895
2024-01-10T21:25:00Z,183,0.960442,0.87715,0.812287,0.968254,6.348119
2024-01-10T21:30:00Z,183,0.786761,0.900709,0.836427,0.968254,6.112149
2024-01-10T21:35:00Z,186,0.839907,0.87471,0.816406,0.984127,6.068861
2024-01-10T21:40:00Z,176,0.665327,0.907035,0.831609,0.931217,6.050773
2024-01-10T21:45:00Z,186,0.61327,0.917062,0.816831,0.984127,6.144725
2024-01-10T21:50:00Z,186,0.624396,0.910628,0.810462,0.984127,6.110934
2024-01-10T21:55:00Z,181,0.468305,0.918919,0.867759,0.957672,6.158079
2024-01-10T22:00:00Z,190,0.661803,0.88412,0.88546,1.0,5.996961
2024-01-10T22:05:00Z,189,1.062238,0.885781,0.840066,1.0,6.076079
2024-01-10T22:10:00Z,187,0.965238,0.892857,0.826603,0.989418,6.135181
2024-01-10T22:15:00Z,188,0.890222,0.882222,0.800213,0.994709,6.243159
2024-01-10T22:20:00Z,189,0.875814,0.872093,0.802442,1.0,6.187621
2024-01-10T22:25:00Z,185,0.923628,0.847255,0.852335,0.978836,6.004906
2024-01-10T22:30:00Z,159,1.104127,0.831746,0.867962,0.84127,6.143113
2024-01-10T22:35:00Z,194,1.263011,0.830108,0.83193,1.0,6.220526
2024-01-10T22:40:00Z,191,1.137995,0.820513,0.843816,1.0,6.40783
2024-01-10T22:45:00Z,190,0.745093,0.857477,0.838302,1.0,6.288901
2024-01-10T22:50:00Z,189,0.865376,0.84738,0.867954,1.0,6.173077
2024-01-10T22:55:00Z,190,1.011312,0.839367,0.85758,1.0,6.330496
2024-01-10T23:00:00Z,193,1.256156,0.831533,0.778057,1.0,6.222335
2024-01-10T23:05:00Z,189,1.298113,0.813679,0.817099,1.0,6.330367
2024-01-10T23:10:00Z,187,1.506715,0.803357,0.83395,0.989418,6.3371
2024-01-10T23:15:00Z,186,1.136427,0.828306,0.823474,0.984127,6.357087
2024-01-10T23:20:00Z,183,1.017199,0.815725,0.848071,0.968254,6.331438
2024-01-10T23:25:00Z,179,1.173858,0.814721,0.80293,0.94709,6.407694
2024-01-10T23:30:00Z,184,0.834217,0.848193,0.84722,0.973545,6.38989
2024-01-10T23:35:00Z,186,0.611358,0.876543,0.899812,0.984127,6.093759
2024-01-10T23:40:00Z,185,0.668765,0.891041,0.858896,0.978836,6.388522
2024-01-10T23:45:00Z,183,0.624877,0.87931,0.820032,0.968254,6.265939
2024-01-10T23:50:00Z,187,0.71338,0.875587,0.788069,0.989418,6.259532
2024-01-10T23:55:00Z,186,0.682212,0.872596,0.772157,0.984127,6.403332
